epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2616.49,0.84888,0.39743,0.78306,0.8839,0.75207,0.8053,0.54364,0.86628,0.4259,0.7894,0.000742625,0.000742625,0.000742625
43,2678.52,0.84358,0.39461,0.78323,0.91594,0.75641,0.8101,0.56751,0.81142,0.40093,0.78656,0.00073025,0.00073025,0.00073025
44,2741.12,0.79213,0.37238,0.78194,0.90315,0.74295,0.80746,0.57093,0.7944,0.38632,0.78392,0.000717875,0.000717875,0.000717875
45,2803.64,0.80347,0.37765,0.78047,0.87846,0.73019,0.81781,0.5831,0.76097,0.38928,0.78274,0.0007055,0.0007055,0.0007055
46,2866.19,0.81168,0.38548,0.78225,0.90678,0.73907,0.80488,0.5575,0.82701,0.39589,0.78653,0.000693125,0.000693125,0.000693125
47,2928.22,0.82355,0.3881,0.78319,0.9117,0.74708,0.81398,0.56984,0.80968,0.40436,0.7851,0.00068075,0.00068075,0.00068075
48,2990.33,0.82471,0.38472,0.78212,0.86008,0.74806,0.80725,0.57105,0.81759,0.3997,0.78479,0.000668375,0.000668375,0.000668375
49,3052.47,0.83717,0.38454,0.78361,0.84371,0.74313,0.80295,0.57823,0.79408,0.39518,0.78486,0.000656,0.000656,0.000656
50,3114.46,0.7876,0.36915,0.77891,0.90535,0.73377,0.81952,0.56797,0.81178,0.3979,0.78633,0.000643625,0.000643625,0.000643625
51,3176.55,0.78484,0.36685,0.77846,0.9438,0.70797,0.82682,0.56209,0.8009,0.39178,0.7864,0.00063125,0.00063125,0.00063125
52,3238.59,0.79443,0.37132,0.77797,0.94222,0.73803,0.82113,0.57085,0.81021,0.40772,0.78656,0.000618875,0.000618875,0.000618875
53,3300.56,0.77333,0.36463,0.77965,0.88797,0.78375,0.80891,0.56576,0.79703,0.39593,0.78497,0.0006065,0.0006065,0.0006065
54,3362.67,0.79601,0.37277,0.78026,0.93524,0.73074,0.81872,0.56783,0.79867,0.39434,0.78593,0.000594125,0.000594125,0.000594125
55,3424.65,0.79086,0.37227,0.77879,0.96044,0.72802,0.81737,0.5617,0.78398,0.38429,0.78495,0.00058175,0.00058175,0.00058175
56,3486.91,0.75809,0.3598,0.77698,0.93663,0.74129,0.81924,0.56802,0.79942,0.39631,0.78518,0.000569375,0.000569375,0.000569375
57,3548.89,0.7657,0.35843,0.7771,0.97925,0.71018,0.81954,0.57747,0.79123,0.37981,0.78647,0.000557,0.000557,0.000557
58,3610.98,0.75831,0.35545,0.7782,0.91161,0.74715,0.81988,0.581,0.78705,0.38425,0.78414,0.000544625,0.000544625,0.000544625
59,3673.05,0.75769,0.35665,0.77833,0.89582,0.72425,0.80003,0.54626,0.80875,0.40369,0.78703,0.00053225,0.00053225,0.00053225
60,3735.03,0.76139,0.3599,0.77779,0.93274,0.73754,0.82178,0.57101,0.79754,0.39975,0.78363,0.000519875,0.000519875,0.000519875
61,3797.08,0.75792,0.35705,0.77725,0.88027,0.74553,0.81339,0.57734,0.79504,0.39688,0.78518,0.0005075,0.0005075,0.0005075
62,3859.07,0.75662,0.35848,0.77666,0.87393,0.74048,0.81586,0.57374,0.76631,0.37984,0.78395,0.000495125,0.000495125,0.000495125
63,3921.25,0.75264,0.35208,0.77821,0.93516,0.74458,0.83361,0.57875,0.77647,0.38199,0.78291,0.00048275,0.00048275,0.00048275
64,3983.34,0.74442,0.34912,0.77678,0.91914,0.77446,0.82776,0.58687,0.76856,0.37796,0.78385,0.000470375,0.000470375,0.000470375
65,4046.26,0.73126,0.34517,0.77683,0.94161,0.75113,0.82482,0.57824,0.76739,0.37854,0.78259,0.000458,0.000458,0.000458
66,4108.26,0.73807,0.34535,0.77547,0.9063,0.75963,0.84859,0.58121,0.79148,0.38139,0.78448,0.000445625,0.000445625,0.000445625
67,4170.27,0.73039,0.34318,0.77707,0.87659,0.76006,0.81376,0.57316,0.78762,0.38235,0.78494,0.00043325,0.00043325,0.00043325
68,4232.31,0.72399,0.33992,0.77657,0.92975,0.76085,0.82058,0.57724,0.79555,0.38609,0.78354,0.000420875,0.000420875,0.000420875
69,4294.41,0.75001,0.34891,0.7741,0.86191,0.78969,0.8377,0.59285,0.78064,0.3803,0.7842,0.0004085,0.0004085,0.0004085
70,4356.87,0.72085,0.33799,0.77513,0.89061,0.76589,0.83425,0.58493,0.80767,0.38503,0.78626,0.000396125,0.000396125,0.000396125
71,4418.89,0.7297,0.34064,0.77634,0.87097,0.74817,0.82669,0.57782,0.78295,0.38206,0.78424,0.00038375,0.00038375,0.00038375
72,4481,0.7296,0.33948,0.77685,0.91708,0.74904,0.82322,0.58803,0.77717,0.39,0.78371,0.000371375,0.000371375,0.000371375
73,4543.01,0.72637,0.3406,0.77394,0.90854,0.72818,0.82411,0.5744,0.79843,0.40088,0.7826,0.000359,0.000359,0.000359
74,4605.11,0.71285,0.33803,0.77676,0.88334,0.76396,0.82951,0.58831,0.80104,0.38107,0.78455,0.000346625,0.000346625,0.000346625
75,4667.19,0.72546,0.33665,0.77422,0.88507,0.76237,0.83038,0.58665,0.78871,0.37524,0.78464,0.00033425,0.00033425,0.00033425
76,4729.37,0.70402,0.32806,0.77409,0.91633,0.75613,0.83517,0.58759,0.7747,0.37835,0.78336,0.000321875,0.000321875,0.000321875
77,4791.41,0.68405,0.32146,0.77316,0.92861,0.75622,0.84477,0.59568,0.79232,0.38351,0.78405,0.0003095,0.0003095,0.0003095
78,4853.8,0.70825,0.32907,0.77131,0.90368,0.75074,0.83369,0.58461,0.77229,0.3829,0.78284,0.000297125,0.000297125,0.000297125
79,4915.84,0.69698,0.32856,0.77364,0.92036,0.75599,0.84257,0.6023,0.77581,0.37331,0.78263,0.00028475,0.00028475,0.00028475
80,4978.36,0.69004,0.3245,0.77226,0.91311,0.76315,0.84858,0.60416,0.77982,0.37053,0.78352,0.000272375,0.000272375,0.000272375
81,5040.85,0.68736,0.32216,0.7724,0.90216,0.74361,0.83941,0.59768,0.76656,0.37107,0.78235,0.00026,0.00026,0.00026
82,5102.93,0.6814,0.32137,0.77295,0.8753,0.74841,0.84389,0.60656,0.76199,0.37316,0.78212,0.000247625,0.000247625,0.000247625
83,5165.55,0.66383,0.31321,0.77155,0.94025,0.7232,0.82846,0.59056,0.76197,0.37512,0.78203,0.00023525,0.00023525,0.00023525
84,5227.61,0.6736,0.3192,0.77374,0.94546,0.74273,0.83984,0.59459,0.77849,0.37569,0.78247,0.000222875,0.000222875,0.000222875
85,5289.7,0.67226,0.31738,0.77294,0.93054,0.71784,0.83598,0.5931,0.77604,0.37579,0.78394,0.0002105,0.0002105,0.0002105
86,5351.55,0.65736,0.31302,0.77326,0.90024,0.74037,0.82152,0.60254,0.77013,0.37137,0.78284,0.000198125,0.000198125,0.000198125
87,5413.7,0.64706,0.31086,0.77177,0.90986,0.75449,0.8401,0.59123,0.77003,0.36867,0.78274,0.00018575,0.00018575,0.00018575
88,5475.92,0.66252,0.31249,0.77151,0.92686,0.75293,0.83665,0.59039,0.76527,0.36145,0.78213,0.000173375,0.000173375,0.000173375
89,5537.93,0.67235,0.31441,0.7724,0.96997,0.72325,0.83453,0.59202,0.76647,0.36444,0.7824,0.000161,0.000161,0.000161
90,5599.96,0.66368,0.31188,0.77071,0.9638,0.72224,0.84255,0.60517,0.76386,0.3675,0.78177,0.000148625,0.000148625,0.000148625
91,5661.21,0.62228,0.30264,0.77237,0.90566,0.75729,0.83433,0.59183,0.78989,0.37444,0.78353,0.00013625,0.00013625,0.00013625
92,5722.53,0.6024,0.2964,0.77086,0.87927,0.72808,0.82243,0.59713,0.77711,0.38107,0.78295,0.000123875,0.000123875,0.000123875
93,5783.75,0.59811,0.29623,0.77016,0.90205,0.7582,0.8384,0.60425,0.77067,0.36179,0.78247,0.0001115,0.0001115,0.0001115
94,5845.06,0.59446,0.2938,0.76622,0.89054,0.74635,0.82542,0.59477,0.77238,0.36231,0.78244,9.9125e-05,9.9125e-05,9.9125e-05
95,5906.37,0.57955,0.28874,0.77002,0.90117,0.72981,0.82379,0.59037,0.77075,0.36374,0.7824,8.675e-05,8.675e-05,8.675e-05
96,5967.74,0.57987,0.28612,0.77046,0.90711,0.72617,0.82723,0.59884,0.76908,0.36467,0.78206,7.4375e-05,7.4375e-05,7.4375e-05
97,6029.11,0.58006,0.2863,0.76755,0.90631,0.73654,0.83741,0.58956,0.77853,0.36518,0.7824,6.2e-05,6.2e-05,6.2e-05
98,6090.62,0.58477,0.28709,0.76858,0.90762,0.73815,0.82825,0.59683,0.7677,0.36334,0.78231,4.9625e-05,4.9625e-05,4.9625e-05
99,6152.43,0.56517,0.27972,0.77012,0.89866,0.74046,0.83432,0.59334,0.76087,0.36233,0.78222,3.725e-05,3.725e-05,3.725e-05
100,6213.77,0.57062,0.28218,0.76805,0.89322,0.75402,0.83069,0.59545,0.76457,0.35875,0.78178,2.4875e-05,2.4875e-05,2.4875e-05
