epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.928,1.1978,1.68177,0.83087,0.1537,0.32149,0.18837,0.11255,1.15253,inf,0.81736,0.000405983,0.000405983,0.000405983
2,405.607,1.20024,0.72505,0.81845,0.43339,0.19237,0.15996,0.06835,1.62912,15.7478,0.89299,0.000814505,0.000814505,0.000814505
3,545.985,1.26484,0.7941,0.81924,0.53295,0.52939,0.52332,0.26712,1.42382,1.71163,0.84239,0.00121478,0.00121478,0.00121478
4,733.784,1.24803,0.69997,0.81735,0.55996,0.49468,0.55288,0.2783,1.35271,0.87249,0.85347,0.00121287,0.00121287,0.00121287
5,948.849,1.24099,0.6503,0.81932,0.55011,0.34668,0.39975,0.18352,1.46282,0.83387,0.85377,0.0012005,0.0012005,0.0012005
6,1112.19,1.15495,0.6054,0.8106,0.7992,0.47184,0.60013,0.36404,1.06335,0.60819,0.81392,0.00118812,0.00118812,0.00118812
7,1270.72,1.10767,0.5849,0.80766,0.71738,0.61976,0.67229,0.35641,1.31389,0.63558,0.83147,0.00117575,0.00117575,0.00117575
8,1430.5,1.15594,0.57517,0.80542,0.75426,0.60997,0.68708,0.40269,1.19841,0.58046,0.82539,0.00116337,0.00116337,0.00116337
9,1591.38,1.0294,0.52381,0.8019,0.81443,0.68105,0.73137,0.46111,0.97218,0.50194,0.80868,0.001151,0.001151,0.001151
10,1768.27,0.99869,0.50301,0.79689,0.83018,0.69575,0.74935,0.49004,0.9488,0.47555,0.80611,0.00113863,0.00113863,0.00113863
11,1943.17,0.99556,0.49725,0.79665,0.83818,0.69899,0.75568,0.4689,0.99048,0.48844,0.80877,0.00112625,0.00112625,0.00112625
12,2126.32,0.98861,0.49021,0.79771,0.82493,0.64242,0.73451,0.45159,0.9722,0.50924,0.80574,0.00111388,0.00111388,0.00111388
13,2327.77,0.98643,0.49224,0.79389,0.89888,0.71573,0.77549,0.51252,0.91748,0.45836,0.80414,0.0011015,0.0011015,0.0011015
14,2518.65,1.00199,0.49723,0.7942,0.81071,0.6757,0.73377,0.47571,0.91921,0.46036,0.80232,0.00108913,0.00108913,0.00108913
15,2769.22,0.96224,0.48518,0.7933,0.90608,0.65166,0.74669,0.48049,0.93428,0.47222,0.80519,0.00107675,0.00107675,0.00107675
